Time_s,IR,Red,BPM,SpO2,Movement
13.921,108852,142916,77.3210538327367,83.8895817643751,0.0585657688722675
13.961,108850,142903,76.3228055296754,83.9016917692182,0.048923856350919
14.001,108849,142908,77.8332765984986,83.9268025463793,0.00372664490294769
14.041,108858,142919,77.1633394452739,83.9469107180498,0.0912400258504989
14.081,108841,142888,75.7748345699257,83.9179935907247,0.0810932848849032
14.121,108801,142849,75.645741320383,84.0530131803527,0.128441870027993
14.161,108784,142841,74.7822997357445,84.2997767062094,0.0625424241086401
14.201,108790,142862,76.5748612025503,84.4972011563342,0.175360451462593
14.241,108821,142891,75.9809045301853,84.6551671893042,0.203521781140022
14.281,108845,142901,76.1613441087955,84.7815558024701,0.202796229810487
14.321,108859,142941,75.4076429840617,84.8827015211883,0.0836091642339677
14.361,108897,143006,76.7691680875814,84.9636613603676,0.0496692686402107
14.401,108965,143126,75.2340641921793,85.0284785938516,0.0171403411313165
14.441,109037,143212,76.5619972960389,85.0803809047989,0.0584251521319529
14.481,109076,143234,76.0523180667754,85.1219317758368,0.0269894120684399
14.521,109084,143250,77.3788939571695,85.1551934217588,0.0691168102910806
14.561,109072,143226,77.0846202192897,85.1818107899199,0.0640909829437499
14.601,109042,143170,78.1719131956955,85.2030984778967,0.0526716070674757
14.641,109000,143113,77.3965944517178,85.2201428362577,0.0468533783955612
14.681,108945,143036,77.2295219567412,85.2338008654499,0.0468635545108781
14.721,108910,143000,77.6131534578622,85.2447476974581,0.0657613518491955
14.761,108889,142975,78.759576640915,85.2535275603385,0.143921674964111
14.801,108913,143008,77.2881715629642,85.2605712005119,0.0651398116125253
14.841,108957,143012,76.2449854979593,85.2662070465852,0.118650836699534
14.881,108956,143025,76.3601517051976,85.2707201830346,0.104101573951248
14.921,108943,143010,76.7363397026747,85.2743273707252,0.130462957013748
14.961,108957,143051,77.909240673124,85.2772214772926,0.0989284804974788
15.001,108968,143047,76.9128567431103,85.2795283226552,0.0557507292011281
15.041,108958,143025,77.2335765393467,85.2813581994862,0.0289592360394701
15.081,108940,143024,81.3048756085932,85.2828182103549,0.0342467603613154
15.121,108927,143018,79.5535238905343,85.2839900323674,0.0256626522425741
15.161,108918,143000,78.4946526080882,85.2849292312147,0.0633491999008849
15.201,108925,143005,78.6839639535892,85.2856841778984,0.059364337967714
15.241,108934,142984,77.3236800617749,85.2862839353532,0.0346387283156962
15.281,108921,142971,78.2736820667912,85.2867610506661,0.0369846859247235
15.321,108897,142946,76.9506018440995,85.287162020203,0.0820436014231754
15.361,108863,142919,76.3990913507128,85.2874911310033,0.0565147316218462
15.401,108855,142928,76.759899713747,85.2877622136142,0.0348300636679511
15.441,108867,142954,77.1148248706878,85.2879878386381,0.0687549589276019
15.481,108883,142985,76.6209936048735,85.2881878698845,0.0372056214873999
15.521,108909,142998,77.0541175379233,85.2883459094705,0.0388283386838625
15.561,108924,143010,77.9974753209359,85.2884679402417,0.0515159859521709
