90505,-0.080,-0.148,4.075,-0.49,-0.98,-0.31,107626,75922,24.1,93.3,1
90626,-0.071,-0.142,4.103,0.06,-0.37,-0.12,107683,75914,24.1,93.3,1
90746,-0.038,-0.146,4.105,0.37,0.12,-0.18,107663,75864,24.1,93.3,1
90866,-0.069,-0.152,4.078,-0.31,-0.92,-0.18,107656,75853,24.1,93.3,1
90986,-0.038,-0.145,4.090,-0.18,-1.16,-0.18,107707,75914,24.1,93.3,1
91107,-0.055,-0.152,4.070,-0.18,-0.12,0.06,107691,75870,24.1,93.3,1
91227,-0.041,-0.137,4.081,0.49,-0.12,-0.06,107725,75853,24.1,93.3,1
91347,-0.052,-0.168,4.078,-1.22,0.18,-0.12,107787,75859,24.1,93.3,1
91467,-0.030,-0.135,4.060,0.98,-0.18,-0.06,107759,75870,24.1,93.3,1
91587,-0.035,-0.148,4.077,-0.18,-0.31,-0.18,107672,75853,24.1,93.3,1
91708,-0.015,-0.142,4.075,0.12,-0.85,0.18,107653,75811,24.1,93.3,1
91828,-0.048,-0.151,4.070,0.24,-0.24,-0.12,107656,75781,24.1,93.3,1
91948,-0.024,-0.164,4.079,0.18,-0.31,-0.06,107728,75839,24.1,93.3,1
